ytid,start_s,end_s,caption,aspect_list,is_audioset_eval
syn00000,0,10,"A lofi and folk piece with sad textures, synth mood and pad tone.","[np.str_('lofi'), np.str_('folk'), np.str_('sad'), np.str_('synth'), np.str_('pad')]",False
syn00001,0,10,"A orchestra and synth piece with strings textures, hiphop mood and lofi tone.","[np.str_('orchestra'), np.str_('synth'), np.str_('strings'), np.str_('hiphop'), np.str_('lofi')]",False
syn00002,0,10,"A strings and hiphop piece with folk textures, jazz mood and harmony tone.","[np.str_('strings'), np.str_('hiphop'), np.str_('folk'), np.str_('jazz'), np.str_('harmony')]",False
syn00003,0,10,"A brass and melancholic piece with ambient textures, folk mood and classical tone.","[np.str_('brass'), np.str_('melancholic'), np.str_('ambient'), np.str_('folk'), np.str_('classical')]",False
syn00004,0,10,"A melody and dance piece with hiphop textures, electronic mood and happy tone.","[np.str_('melody'), np.str_('dance'), np.str_('hiphop'), np.str_('electronic'), np.str_('happy')]",False
syn00005,0,10,"A blues and hiphop piece with pop textures, trance mood and energetic tone.","[np.str_('blues'), np.str_('hiphop'), np.str_('pop'), np.str_('trance'), np.str_('energetic')]",False
syn00006,0,10,"A drums and ambient piece with percussion textures, classical mood and male tone.","[np.str_('drums'), np.str_('ambient'), np.str_('percussion'), np.str_('classical'), np.str_('male')]",False
syn00007,0,10,"A riff and jazz piece with slow textures, rock mood and trance tone.","[np.str_('riff'), np.str_('jazz'), np.str_('slow'), np.str_('rock'), np.str_('trance')]",False
syn00008,0,10,"A folk and soft piece with choir textures, calm mood and female tone.","[np.str_('folk'), np.str_('soft'), np.str_('choir'), np.str_('calm'), np.str_('female')]",False
syn00009,0,10,"A bright and happy piece with dance textures, male mood and pop tone.","[np.str_('bright'), np.str_('happy'), np.str_('dance'), np.str_('male'), np.str_('pop')]",False
syn00010,0,10,"A jazz and trance piece with indie textures, pop mood and classical tone.","[np.str_('jazz'), np.str_('trance'), np.str_('indie'), np.str_('pop'), np.str_('classical')]",False
syn00011,0,10,"A female and dance piece with harmony textures, piano mood and riff tone.","[np.str_('female'), np.str_('dance'), np.str_('harmony'), np.str_('piano'), np.str_('riff')]",False
syn00012,0,10,"A hiphop and folk piece with energetic textures, reverb mood and electronic tone.","[np.str_('hiphop'), np.str_('folk'), np.str_('energetic'), np.str_('reverb'), np.str_('electronic')]",False
syn00013,0,10,"A female and energetic piece with vocal textures, melancholic mood and folk tone.","[np.str_('female'), np.str_('energetic'), np.str_('vocal'), np.str_('melancholic'), np.str_('folk')]",False
syn00014,0,10,"A sad and distorted piece with bright textures, bass mood and reverb tone.","[np.str_('sad'), np.str_('distorted'), np.str_('bright'), np.str_('bass'), np.str_('reverb')]",False
syn00015,0,10,"A distorted and guitar piece with loud textures, electronic mood and folk tone.","[np.str_('distorted'), np.str_('guitar'), np.str_('loud'), np.str_('electronic'), np.str_('folk')]",False
syn00016,0,10,"A guitar and indie piece with soul textures, melancholic mood and house tone.","[np.str_('guitar'), np.str_('indie'), np.str_('soul'), np.str_('melancholic'), np.str_('house')]",False
syn00017,0,10,"A electronic and pop piece with reverb textures, female mood and sad tone.","[np.str_('electronic'), np.str_('pop'), np.str_('reverb'), np.str_('female'), np.str_('sad')]",False
syn00018,0,10,"A dance and pop piece with soft textures, rock mood and jazz tone.","[np.str_('dance'), np.str_('pop'), np.str_('soft'), np.str_('rock'), np.str_('jazz')]",False
syn00019,0,10,"A choir and lofi piece with dark textures, synth mood and riff tone.","[np.str_('choir'), np.str_('lofi'), np.str_('dark'), np.str_('synth'), np.str_('riff')]",False
syn00020,0,10,"A strings and dark piece with male textures, metal mood and choir tone.","[np.str_('strings'), np.str_('dark'), np.str_('male'), np.str_('metal'), np.str_('choir')]",False
syn00021,0,10,"A happy and clean piece with calm textures, electronic mood and jazz tone.","[np.str_('happy'), np.str_('clean'), np.str_('calm'), np.str_('electronic'), np.str_('jazz')]",False
syn00022,0,10,"A loud and strings piece with slow textures, house mood and trance tone.","[np.str_('loud'), np.str_('strings'), np.str_('slow'), np.str_('house'), np.str_('trance')]",False
syn00023,0,10,"A bright and trance piece with classical textures, acoustic mood and riff tone.","[np.str_('bright'), np.str_('trance'), np.str_('classical'), np.str_('acoustic'), np.str_('riff')]",False
syn00024,0,10,"A trance and synth piece with bass textures, female mood and folk tone.","[np.str_('trance'), np.str_('synth'), np.str_('bass'), np.str_('female'), np.str_('folk')]",False
syn00025,0,10,"A melody and hiphop piece with fast textures, percussion mood and reverb tone.","[np.str_('melody'), np.str_('hiphop'), np.str_('fast'), np.str_('percussion'), np.str_('reverb')]",False
